CBFC,CKFL,Pulpa 262,Pulpa 261,Recorte Maule,Rec.Virtual,Rec.Fab,Rec.Recirculado area 070,Pulpa SGW,CEL B,Rec. kraft,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK,Almidon oxidado,almidon nativo, Aditivos extras ,Temperatura Pope,Gramaje                         ,Espesor                             ,Humedad                            ,Cobb Tripa               ,Cobb Reverso           ,Rig. Taber Long             ,Rig. Taber Trans.            ,Internal bond                   ,Tersura Cara                      ,Tersura Reverso,Blancura Cara       ,Blancura Reverso,Curvatura Cara L.,Curvatura Cara T.               ,FL CARA,L*CARA,a*CARA,Kit
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,59,260.7,440,9.8,0.38,0.32,14.8,5.5,162,200,269,31.8,33.15,0,1.3,-0.15,76.33,3.96,12
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,57,267.7,411,8.9,0.35,0.31,18.1,6.6,162,168,319,32.32,31,0,1.7,-0.16,75.6,4.11,12
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,46.5,260.2,415,8.7,0.37,0.31,15.7,5.8,162,162,319,31.51,31.5,0,1.3,-0.16,74.9,4.03,12
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,49,261.4,411,8.8,0.37,0.33,12.8,5.9,162,186,334,32.07,31.64,0,1.8,-0.19,76.1,4.03,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,48.5,259.3,409,9,0.38,0.33,14.8,5.3,250,166,337,31.15,30.95,0,1.8,-0.17,75.1,4.36,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,42,258.1,412,8.9,0.38,0.33,14,5.3,250,161,352,31.97,31.4,0,1.8,-0.18,75.2,4.33,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,45.6,258.8,410,8.7,0.39,0.33,13.2,5.4,250,172,360,31.78,30.88,0,1.5,-0.18,74.8,4.32,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,50,254.7,409,8.6,0.58,0.35,14.5,5.2,250,155,356,31.82,32.26,0,1.8,-0.18,76.3,3.82,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,44.6,261,405,8.7,0.61,0.35,13.1,5.5,250,184,350,32.17,32.58,0,1.5,-0.16,76.2,3.77,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,52.2,256.6,405,8.8,0.66,0.34,14.1,5.4,295,171,346,32.7,31.59,0,1.5,-0.18,76.2,3.85,12
