Gramaje,Esp.,Hum. Prom.,R/L Prom.,R/T Prom.,Blancura Lado Barrera,Blancura Lado sin Barrera,Cobb Lado Barrera Base 2,Cobb Lado sin Barrera 2,Dennison Lado sin Barrera,Tersura Sheffield Lado Barrera,Tersura Sheffield Lado sin Barrera,CBFC,CKFL,Pulpa TMP,Recorte Duplex + Area 070,SGW,SOREPA + CEL B,DKL,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK
267.7,411,8.9,18.1,6.6,32.32,31,0.15,0.31,16,168,319,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
260.2,415,8.7,15.7,5.8,31.51,31.5,0.16,0.31,16,162,319,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
261.4,411,8.8,12.8,5.9,32.07,31.64,0.16,0.33,16,186,334,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
259.3,409,9,14.8,5.9,31.15,30.95,0.13,0.33,16,166,337,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
258.1,412,8.9,14,5.3,31.97,31.4,0.14,0.33,16,161,352,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
258.8,410,8.7,13.2,5.4,31.78,30.88,0.14,0.33,16,172,360,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
254.7,409,8.6,14.5,5.5,31.82,32.26,0.12,0.35,16,155,356,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
261,405,8.7,13.1,5.5,32.17,32.58,0.12,0.35,16,184,350,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
256.6,405,8.8,14.1,5.4,32.7,31.59,0.13,0.34,16,171,346,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
257.3,406,8.5,13.9,5.4,32.81,31.68,0.11,0.33,16,161,342,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
252.4,408,8.1,13.7,5.2,31.57,30.96,0.17,0.32,16,176,334,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
256,406,8.3,13.7,5.3,32.61,30.12,0.16,0.32,16,165,331,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
256.1,407,8.8,15.1,5.6,31.64,31.3,0.17,0.29,16,184,341,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
256.1,408,8.5,14.9,5.6,31.53,31.26,0.16,0.28,16,181,337,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
253.8,415,8.6,14.7,5.5,32.08,31.7,0.15,0.37,16,159,316,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
255.8,411,8.6,14.6,5.5,32.45,31.86,0.16,0.36,16,171,321,0,0.639333621808741,0.768931198615318,1.55235828645608,0.506274340112505,0.0346170488965816,0.146040675032453,0.00396,0.01968,0.00048,0.00025,0,0,0
255.1,411,9,14.2,5.4,31.54,29.96,0.2,0.33,16,170,326,0,0.2072,0.305885714285714,0.569285714285714,0.185142857142857,0.00108571428571429,0.0535714285714286,0.0036,0.01949,0.00048,0.00025,0,0,0
253.9,413,8.9,14.4,5.6,32,29.77,0.23,0.3,16,186,322,0,0.2072,0.305885714285714,0.569285714285714,0.185142857142857,0.00108571428571429,0.0535714285714286,0.0036,0.01949,0.00048,0.00025,0,0,0
259.8,420,8.9,15,5.4,31.14,31.46,0.12,0.29,16,157,354,0,0.2072,0.305885714285714,0.569285714285714,0.185142857142857,0.00108571428571429,0.0535714285714286,0.0036,0.01949,0.00048,0.00025,0,0,0
253.9,411,8.7,14.7,5.3,31.75,31.22,0.18,0.31,16,162,360,0,0.2072,0.305885714285714,0.569285714285714,0.185142857142857,0.00108571428571429,0.0535714285714286,0.0036,0.01949,0.00048,0.00025,0,0,0
252.8,414,8.1,14.7,5.5,31.67,31.56,0.19,0.28,16,162,361,0,0.2072,0.305885714285714,0.569285714285714,0.185142857142857,0.00108571428571429,0.0535714285714286,0.0036,0.01949,0.00048,0.00025,0,0,0
