JUMBO,Papel, Espesor, Gramaje,Humedad,CARA CBFC,CARA CBFL,CARA CCFL ,CARA Celulosa B FC,CARA Recorte Kraft Laja,CARA Recorte Valdivia (Pta. Tratamiento),REVERSO CBFC,CARA Recorte Maule (Pta. Tratamiento),REVERSO CBFL,REVERSO CCFL ,REVERSO Celulosa B FC,REVERSO Pulpa 261F,REVERSO Pulpa BO Paper,REVERSO Pulpa mecÃ¡nica,REVERSO Recorte DKL Osorno,REVERSO Recorte duplex nÂ° 1 Sorepa,REVERSO Recorte Kraft Laja,REVERSO Recorte La Selecta,REVERSO Recorte Maule (Pta. Tratamiento),REVERSO Recorte Micro Corrugado,REVERSO Recorte Valdivia (Pta. Tratamiento),TRIPA CBFC,TRIPA CBFL,TRIPA Celulosa B FC,TRIPA Pulpa 261F,TRIPA Pulpa 262F,TRIPA Pulpa BO Paper,TRIPA Pulpa mecÃ¡nica,TRIPA Recorte DKL Osorno,TRIPA Recorte duplex nÂ° 1 Sorepa,TRIPA Recorte Kraft Laja,TRIPA Recorte La Selecta,TRIPA Recorte Maule (Pta. Tratamiento),TRIPA Recorte Micro Corrugado, TRIPA Recorte Valdivia (Pta. Tratamiento)
PM2N013124,AS250N,401,248.2,8.3,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013125,AS250N,406,253.8,8.9,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013126,AS250N,409,254.8,8.5,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013127,AS250N,408,260,8.9,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013128,AS250N,404,258.6,8.7,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013129,AS250N,405,254.4,8.6,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013130,AS250N,412,255.9,8.6,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013131,AS250N,415,253.4,8,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013132,AS250N,413,254.3,8.4,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013133,AS250N,420,252,7.3,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013134,AS250N,407,250.2,7.6,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013135,AS250N,401,249.8,7.9,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013136,AS250N,402,249,8.2,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013137,AS250N,409,250.2,8.1,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013138,AS250N,412,249.9,8.2,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013139,AS250N,413,251.2,8.4,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013140,AS250N,417,251.7,8.4,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013141,AS250N,413,249.9,8.3,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013142,AS250N,410,249.2,8.1,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013144,AS195N,298,189.1,7.6,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013145,AS195N,302,192.8,8,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013146,AS195N,310,194.9,8.5,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2N013147,AS195N,309,193.7,8.4,0.00639866515481301,0,0.102177842832273,0.00226132939998691,0,0.016237522370939,0.0110961660591837,0,0,0.124509511339196,0.00226132939998691,0,0,0,0,0,0,0,0,0,0.110532253432397,0,0,0,0.223843116540179,0,0,0.204385470103567,0,0,0,0,0,0,0.196296793367478
PM2P010101,AS195N,303,196.2,8.5,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010102,AS195N,305,194.7,8.4,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010103,AS195N,303,194.2,8.7,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010104,AS195N,300,196,8.9,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010105,AS195N,302,194.9,8.2,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010106,AS195N,304,194.9,8.4,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010107,AS195N,304,195.3,8.4,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
PM2P010108,AS195N,304,195.6,8.4,0.0233753024554881,0,0.0870011719068243,0,0.0848791921042189,0,0,0,0,0.133148628924375,0.0056709089114533,0,0,0,0,0,0,0,0,0,0.0147650958294493,0,0,0,0.252692950543385,0,0,0.207624742635551,0,0,0,0,0,0,0.190842006689254
