Ciclo,Artículo,Familia,Fecha,Corrida,Gramaje Prom,Esp.Prom,Hum. Prom.,R/L Prom.,R/T Prom.,Relac. Rig.,Internal Bonding,Blancura Lado Barrera,Blancura Lado sin Barrera,Cobb Lado Barrera Base 2',Cobb Lado sin Barrera 2',Dennison Lado sin Barrera,Tersura Sheffield Lado Barrera,Tersura Sheffield Lado sin Barrera,CBFC,CBFL,CKFL,Pulpa TMP,Recorte Duplex + Area 070,SGW,SOREPA + CEL B,DKL,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK
1,AT260N      ,N,02/03/2021,60402,254.643243243243,408.567567567568,8.47297297297297,14.5486486486486,5.54054054054054,2.62760738701911,244.7,32.0513513513513,31.4859459459459,0.166486486486486,0.327027027027027,16,168.567567567568,349.944444444444,0,0,0.158217781110734,0.225342357790759,0.425588826740926,0.151320471730107,0.00227362829998519,0.0372569343274885,0.143445344667286,0.827467127108514,0.0191260459556382,0.00996148226856156,0,0,0
2,AT260N      ,N,04/12/2021,60585,251.647916666667,412.333333333333,8.475,15.4020833333333,5.475,2.81682023600477,207.4,30.998125,29.2175,0.226041666666667,0.368333333333333,16,180.75,331.9375,0,0,0.271674778955192,0.237112816727659,0.213276624737404,0.215547721419022,0.00122329525805336,0.061164762902668,0.13488021128089,0.820033955857385,0.0199962271269572,0,0.00660252782493869,0.0184870779098283,0
3,AT260N      ,N,07/01/2021,60780,254.216666666667,420.166666666667,7.95,18.75,6.01666666666667,3.11583645853627,194,31.1566666666667,29.33,0.118333333333333,0.33,16,117.5,298.333333333333,0,0,0.19876615746181,0.362573443008226,0,0.200940070505288,0.0027027027027027,0.235017626321974,0.228402366863905,0.702366863905326,0.0331360946745562,0,0.00650887573964497,0.029585798816568,0
4,AT260N      ,N,08/10/2021,60874,250.965217391304,415.434782608696,8.55652173913044,17.0304347826087,5.58260869565217,3.05265534768005,209.5,31.8126086956522,29.88,0.163913043478261,0.393478260869565,16,171.565217391304,323.565217391304,0,0,0.225733345283671,0.267077246130011,0.158128577098885,0.258127296705548,0.00130600120356974,0.0896275335783153,0.187669990933817,0.747960108794198,0.0253853127833182,0,0.00634632819582956,0.0326382592928377,0
5,AT260N      ,N,11/08/2021,61095,251.445161290323,410.645161290323,8.89032258064516,15.3967741935484,5.5741935483871,2.76826736902288,205.4,31.8135483870968,30.3687096774193,0.135161290322581,0.330967741935484,16,191.322580645161,345.387096774194,0.00658765868022846,0,0.271444475918814,0.386860255996416,0.144269725097003,0.187353012865697,0.00348487144184086,0,0.191926884996192,0.761360751459761,0.0218329525260218,0,0,0.0248794110180249,0
6,AT260N      ,N,02/05/2022,61301,254.529411764706,409.176470588235,8.73529411764706,15.3470588235294,5.81764705882353,2.63892205143564,189,31.2735294117647,30.6188235294118,sin dato,0.354117647058824,16,170.764705882353,307.882352941176,0.0248878707757523,0,0.168969909761398,0.249189137113435,0.303471456555947,0.18497307828172,0,0.0685085475117482,0.193186072631973,0.757768625982778,0.017970797454137,0,0,0.0310745039311119,0
7,AT260N      ,N,04/28/2022,61525,252.348484848485,406.939393939394,8.42727272727273,17.1181818181818,6.48787878787879,2.64607204512263,157.6,33.2760606060606,28.9545454545455,0.66,0.373030303030303,16,99.7272727272727,282.060606060606,0.0618871700965623,0,0.224254490093581,0.3256928105271,0.192698740538066,0.19546678874469,0,0,0.193149626577389,0.742724697398918,0.0141643059490085,0,0,0.0499613700746845,0
8,AT260N      ,N,06/29/2022,61699,251.632051282051,414.794871794872,8.36538461538461,16.9641025641026,6.28076923076923,2.71348276249884,152.2,31.5864102564103,29.6853846153846,0.75,0.343589743589744,16,116.769230769231,283.961538461538,0.0513024320704998,0,0.294449004276643,0.443829107088859,0,0.208389131279969,0.00203032528402955,0,0.171342958321983,0.775265595205666,0.0170253336965405,0,0,0,0.0363661127758104
9,AT260N      ,N,09/09/2022,61919,255.65,411.675675675676,8.36891891891892,17.572972972973,6.38108108108108,2.76182180983453,183.1,31.6275675675676,29.2551351351351,0.443333333333333,0.397432432432432,16,138,304.175675675676,0.0417211991179451,0,0.210880267000417,0.0721354073544311,0.199773526431849,0.170784909708564,0.0222778473091364,0.282431610942249,0.116415717958134,0.825560044069042,0.0139551964744767,0,0,0,0.0440690414983474
10,AT260N      ,N,11/20/2022 09:20:39,62085,253.069642857143,409.785714285714,8.59642857142857,16.7714285714286,5.73214285714286,2.93245324864522,189,32.2482142857143,31.9114285714286,0.41,0.370892857142857,16,155.107142857143,306.446428571429,0.107043332868887,0,0.195781663647764,0.333403000325113,0.0658933630579165,0.188449212762993,0.0284473549765454,0.079246203148948,0.263706873495587,0.664081305161808,0.0256753142551484,0,0,0,0.0465365070874565
