CBFC,CKFL,Pulpa 262,Pulpa 261,Recorte Maule,Rec.Virtual,Rec.Fab,Rec.Recirculado área 070,Pulpa SGW,CEL B,Rec. kraft,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK,Almidon oxidado,almidon nativo,Ton Aditivos extras ,Temperatura Pope,Gramaje                         ,Espesor                             ,Humedad                            ,Rig. Taber Long             ,Rig. Taber Trans.            ,Internal bond                   ,Tersura Cara                      ,Tersura Reverso,Blancura Cara       ,Blancura Reverso,Curvatura Cara L.,Curvatura Cara T.               ,FL CARA,L*CARA,a*CARA,Kit,Status Calidad
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,57,267.7,411,8.9,18.1,6.6,162,168,319,32.32,31,0,1.7,-0.16,75.6,4.11,12,G
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,46.5,260.2,415,8.7,15.7,5.8,162,162,319,31.51,31.5,0,1.3,-0.16,74.9,4.03,12,G
0,0.15782,0,0.163636,0.245454,0,0.01157,0.141322,0.193388,0.0221,0.03471,0.000219720602197206,0.00156856096568561,0.000032551200325512,0.0000169537501695375,0,0,0,0.018,0.006,0.0041622134816222,49,261.4,411,8.8,12.8,5.9,162,186,334,32.07,31.64,0,1.8,-0.19,76.1,4.03,12,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,60,246.2,397,9,15.2,5.6,188,213,333,32.16,29.74,0,2,-0.16,76.3,3.88,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,51,247.3,403,9.1,15,5.5,188,198,328,32.51,29.81,0,2,-0.16,76.2,3.94,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,51,247.9,401,9.6,14.5,5.3,188,197,323,32.86,29.53,0,2,-0.16,76.1,3.98,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,51,250.2,406,9.7,14.6,5.3,188,201,319,32.67,29.45,0,2,-0.16,76,4.05,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,55,251.1,415,10.1,15,5.4,199,183,311,31.38,28.8,0,2,-0.16,75.5,4.25,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,55.6,256.3,415,10.1,14.8,5.3,199,190,329,31.37,28.87,0,2,-0.16,75.4,4.21,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,55.8,251.1,414,9.3,16.4,5.9,199,205,338,32.49,29.11,0,2,-0.16,76.3,3.96,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,55.8,252.1,418,8.9,16,5.9,199,197,333,32.07,29.53,0,2,-0.16,76,4.03,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,56.8,251.8,420,8.5,16.4,6.2,211,189,336,32.68,30.41,0,2,-0.15,76.4,4.08,21,G
0,0.16939,0,0.357024,0,0.01326,0.03471,0.14876,0.14876,0.0221,0,0.0000754760575312398,0.000306910295165296,0.00000827926141286559,0,0,0.00000943450719140497,0,0.018,0.006,0.0815958998786991,56.8,250.1,419,8.5,16.2,6.2,211,198,327,32.33,30.12,0,2,-0.15,76.1,4.01,21,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,60.2,254.1,408,8.9,15.5,5.8,195,190,315,31.21,30.23,0.5,0,-0.15,73.2,4.2,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,59.3,259.1,414,9,14.7,5.8,195,186,306,31.27,31.23,0.5,0,-0.14,75.2,4.07,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,59.3,255,405,9,15.4,5.8,195,193,320,31.52,30.15,0.5,0,-0.12,74.2,4.15,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,59.3,254.9,407,8.9,15.5,6,195,193,315,31.6,30.9,0.5,0,-0.12,73.2,4.1,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,60.3,261.3,406,9,15.3,5.6,195,183,307,31.47,31.2,0.5,0,-0.11,74.2,4.3,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,60.3,255.4,404,9,15.6,6,195,183,320,31.23,30.9,0.5,0,-0.13,74.2,4.06,12,G
0.0221,0.14625,0,0.22314,0,0,0.23471,0.089256,0.208264,0,0.04628,0.000133478193388173,0.000523565626778416,0.0000124165761291324,0,0,0.0000214703295566248,0,0.018,0.006,0.00530906927414751,62.3,259.3,414,9,15.6,5.9,201,189,318,31.77,31.2,1,0,-0.14,73.2,4.06,12,G
0,0.14625,0,0.3228092,0,0,0.1383468,0.089256,0.193388,0.03367,0.04628,0.00017680469036277,0.000543697325027483,0.0000256504213997801,0,0.00000503847563209967,0.0000229021619640894,0,0.018,0.006,0.00522590692561375,45.2,249.6,422,7,20.2,6.4,194,122,295,29.93,29.07,0,3,-0.24,74.7,4.16,12,G
0,0.14625,0,0.3228092,0,0,0.1383468,0.089256,0.193388,0.03367,0.04628,0.00017680469036277,0.000543697325027483,0.0000256504213997801,0,0.00000503847563209967,0.0000229021619640894,0,0.018,0.006,0.00522590692561375,45.2,249.6,423,7.1,18.7,6,194,114,313,29.37,29.96,0,3,-0.15,74.5,4.28,12,G
0,0.14625,0,0.3228092,0,0,0.1383468,0.089256,0.193388,0.03367,0.04628,0.00017680469036277,0.000543697325027483,0.0000256504213997801,0,0.00000503847563209967,0.0000229021619640894,0,0.018,0.006,0.00522590692561375,45.2,256.4,420,8.8,18.2,5.9,194,114,299,29.21,28.79,0,2,-0.15,74.2,4.39,12,G
0,0.14625,0,0.3228092,0,0,0.1383468,0.089256,0.193388,0.03367,0.04628,0.00017680469036277,0.000543697325027483,0.0000256504213997801,0,0.00000503847563209967,0.0000229021619640894,0,0.018,0.006,0.00522590692561375,45.2,256.1,420,8.7,18.3,6,194,126,306,29.57,28.75,0,2,-0.15,74.5,4.35,12,G
